network_type,district,longitude,latitude,population_density,user,expected_quality,actual_quality
2G,Железнодорожный вокзал,54.46727035282747,36.37450584421423,1353,248,-87,-94
3G,Восточный,54.59302153076958,36.424214981799615,653,208,-84,-87
4G,Губернский парк,54.555541503724285,36.16968008114466,1439,63,-82,-87
3G,Северный,54.55196061236116,36.35227353653125,1164,205,-86,-87
4G,Центр,54.54387534092267,36.17005687872247,885,262,-81,-73
3G,Торговый центр,54.57055629192458,36.25613889449087,638,158,-99,-95
2G,Железнодорожный вокзал,54.56592545271542,36.18724221597977,1178,58,-100,-91
2G,Студенческий городок,54.474524676542906,36.22431936545803,1348,181,-85,-93
4G,Восточный,54.50997602123995,36.32805868123023,664,140,-97,-101
2G,Восточный,54.532162244258046,36.37694018927056,1314,290,-85,-89
2G,Торговый центр,54.47699029328854,36.41430294687856,962,275,-90,-85
3G,Центр,54.59595547082434,36.24614270816176,1093,172,-87,-96
4G,Западный,54.577472246901856,36.13014112178983,1010,244,-99,-98
4G,Восточный,54.49838097789684,36.38405131280296,935,132,-99,-101
3G,Промышленная зона,54.57305825065298,36.34597766957108,1063,68,-94,-91
2G,Западный,54.538611139319016,36.1253836489753,1330,247,-95,-93
4G,Южный,54.54674335702372,36.10011852089514,738,250,-100,-107
3G,Студенческий городок,54.56140529493463,36.36977354053142,758,172,-98,-91
4G,Студенческий городок,54.567491238312535,36.4427154287174,783,279,-90,-95
2G,Торговый центр,54.59159251590477,36.32933428789723,1455,74,-84,-82
4G,Южный,54.59631220093991,36.43060872907149,970,198,-84,-81
2G,Восточный,54.47549829626144,36.16631243799468,1198,250,-89,-88
4G,Торговый центр,54.51669270377962,36.44323902880733,1133,221,-83,-84
3G,Студенческий городок,54.51724785579093,36.34106983364189,641,158,-96,-101
3G,Промышленная зона,54.50911610437263,36.14499894568773,554,208,-96,-100
3G,Восточный,54.52661186460731,36.22704105014716,871,58,-95,-102
3G,Восточный,54.58299433577747,36.20196470644955,1341,187,-97,-97
4G,Торговый центр,54.55934479576364,36.2931674832267,1371,83,-92,-97
2G,Восточный,54.514549448947854,36.10063213930812,710,90,-97,-103
2G,Студенческий городок,54.5132307855859,36.23582068057234,1170,232,-98,-95
3G,Торговый центр,54.45136228363816,36.12191107475006,704,182,-96,-98
4G,Студенческий городок,54.56127759619434,36.25768861076536,589,138,-85,-80
4G,Восточный,54.53845814624592,36.19884557562873,693,183,-92,-102
2G,Восточный,54.55749820363218,36.10517375735141,934,257,-82,-91
2G,Северный,54.46386449791238,36.28124460314125,758,219,-83,-79
2G,Северный,54.48770392840164,36.1386281324333,1383,238,-85,-85
4G,Восточный,54.50894492507766,36.40035419912032,658,186,-82,-82
3G,Торговый центр,54.55086043569617,36.13743783713962,1493,190,-92,-91
4G,Промышленная зона,54.58925896490039,36.30424725840195,691,113,-84,-87
3G,Железнодорожный вокзал,54.462941117309065,36.11342428953592,1049,296,-97,-107
3G,Центр,54.47008271270878,36.21501444343135,856,294,-92,-84
3G,Железнодорожный вокзал,54.51481169504657,36.35440901729298,1029,261,-89,-85
3G,Торговый центр,54.5313239668423,36.32623461585946,1145,174,-96,-101
3G,Торговый центр,54.4538337377852,36.10589110433266,896,221,-97,-98
2G,Западный,54.5330804007006,36.1220001111556,1181,240,-81,-91
2G,Восточный,54.52842538762637,36.28569027166653,1454,131,-88,-83
3G,Северный,54.53313463304107,36.34844739644866,663,195,-96,-94
2G,Промышленная зона,54.53942363743383,36.44195679097735,779,56,-81,-89
3G,Западный,54.54483490894786,36.29936200700234,550,245,-87,-94
4G,Железнодорожный вокзал,54.48946941572651,36.16890443453188,757,113,-92,-102
3G,Восточный,54.45034887260791,36.29535414801165,1092,134,-82,-79
4G,Торговый центр,54.46170439332932,36.190902718528015,1036,176,-87,-91
2G,Северный,54.58596354308925,36.36682843404794,963,97,-88,-87
3G,Железнодорожный вокзал,54.59707735078543,36.36617395539948,1062,106,-99,-91
2G,Южный,54.562187753199474,36.22398715708145,612,247,-81,-75
2G,Северный,54.52548648519082,36.14060007474092,1412,256,-97,-91
3G,Северный,54.56411033531212,36.20945182249282,627,238,-92,-90
3G,Железнодорожный вокзал,54.51874265051754,36.28863291991431,686,145,-92,-97
2G,Южный,54.568932501323246,36.12893484933592,710,111,-93,-98
3G,Западный,54.59067919222662,36.41985603680158,1426,212,-86,-89
4G,Торговый центр,54.53626617797009,36.390571039548405,984,76,-92,-95
4G,Студенческий городок,54.547430994274585,36.15678863605652,683,107,-96,-101
3G,Северный,54.56444777045006,36.23175318821385,757,282,-95,-95
2G,Южный,54.522922251622674,36.29307835939895,1363,271,-81,-73
3G,Западный,54.46767948240062,36.360532364484655,1435,227,-86,-90
2G,Западный,54.51509564388846,36.31185065237333,1047,126,-84,-94
4G,Губернский парк,54.53273371189408,36.23274718082882,757,281,-82,-73
2G,Студенческий городок,54.4689079074984,36.37427332091295,948,224,-95,-88
4G,Южный,54.54808702106408,36.22020911955705,1231,235,-95,-97
4G,Промышленная зона,54.45194706166005,36.13305477578418,867,277,-87,-86
3G,Центр,54.54662984247898,36.390609148804,1336,134,-87,-97
4G,Промышленная зона,54.48551259405685,36.22891629601087,777,227,-89,-82
2G,Центр,54.533109879881046,36.11642785943407,751,208,-92,-87
4G,Железнодорожный вокзал,54.46596998242962,36.442792738324016,863,126,-100,-107
